"Дж. К. Роулинг","Гарри Поттер и философский камень - Harry Potter and the Philosopher's Stone"
"J.K. Rowling","Фантастические твари и где они обитают. Оригинальный сценарий"
"Andrew Blake","The Irresistible Rise of Harry Potter"
"Lana A. Whited","The Ivory Tower and Harry Potter"
"Ruthann Mayes-Elma","Females and Harry Potter"
"Giselle Liza Anatol","Reading Harry Potter"
"J. K. Rowling","Harry Potter and the Philosopher's Stone - Slytherin Edition"
"Richard A. Spencer","Harry Potter and the Classical World"
"Daniel H. Nexon","Harry Potter and International Relations"
"Luke Bell","Baptizing Harry Potter"
